score,match_label,tier,company,title,department,location,posted,match_path,score_detail,url,ats
13,Good,T1,AstraZeneca,Head of Clinical Data Science — Vaccines & Immune Therapies (V&I),,Spain - Barcelona,,D1-title,Seniority=4 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://careers.astrazeneca.com/job/Spain---Barcelona/Head-of-Clinical-Data-Science---Vaccines---Immune-Therapies--V-I-_R-242595-1,Workday
8,Possible,T1,AstraZeneca,"Associate Director, Data Products, Operational Data Strategy",,Spain - Barcelona,,D1-title,Seniority=2 | Title=4 | Clusters=1 | Dept=0 | Tier=1,https://careers.astrazeneca.com/job/Spain---Barcelona/Associate-Director--Data-Products--Operational-Data-Strategy_R-248599,Workday
8,Possible,T2,Beam Therapeutics,"Senior Manager/Associate Director, Statistical Programmer",Biometrics,"Cambridge, MA",2026-03-23,D3-dept,Seniority=2 | Title=2 | Clusters=1 | Dept=2 | Tier=1,https://job-boards.greenhouse.io/beamtherapeutics/jobs/8466166002,Greenhouse
6,Weak,T1,Johnson & Johnson,"Director, Bioresearch Quality Process Management",,10 Locations,,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://jobs.jnj.com/job/New-Brunswick-New-Jersey-United-States-of-America/Director--Bioresearch-Quality-Process-Management_R-064074-1,Workday
5,Weak,T1,Bristol Myers Squibb,"Executive Director, Global Logistics Solutions Lead (Global Services)",,6 Locations,,D1-title,Seniority=3 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://careers.bms.com/job/New-Brunswick---NJ---US/Executive-Director--Global-Logistics-Solutions-Lead--Global-Services-_R1599625,Workday
