score,match_label,tier,company,title,department,location,posted,match_path,score_detail,url,ats
12,Good,T1,Sanofi,Head PLO of Clinical Development and AI Workflow,,2 Locations,,D1-title,Seniority=4 | Title=4 | Clusters=3 | Dept=0 | Tier=1,https://careers.sanofi.com/job/Cambridge-MA/Head-PLO-of-Clinical-Development-and-AI-Workflow_R2846882-1,Workday
11,Good,T1,Merck (MSD),"Associate Director, Clinical Data Management (Hybrid)",,2 Locations,,D1-title,Seniority=2 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://jobs.merck.com/job/USA---Pennsylvania---North-Wales-Upper-Gwynedd/Associate-Director--Clinical-Data-Management--Hybrid-_R390631-1,Workday
11,Good,T2,Genmab,"Associate Director, External Data Quality Manager",,2 Locations,,D1-title,Seniority=2 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://careers.genmab.com/job/Princeton/Associate-Director--External-Data-Quality-Manager_R15771,Workday
9,Possible,T1,Sanofi,Head of PPA - External data and AI Workflow,,"Toronto, ON",,D1-title,Seniority=4 | Title=0 | Clusters=4 | Dept=0 | Tier=1,https://careers.sanofi.com/job/Toronto-ON/Head-of-PPA---External-data-and-AI-Workflow_R2846886,Workday
6,Weak,T1,Johnson & Johnson,"Director, R&D Neuroscience Data Science & Digital Health – Ophthalmology",,4 Locations,,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Cambridge-Massachusetts-United-States-of-America/Director--R-D-Neuroscience-Data-Science---Digital-Health---Ophthalmology_R-067850-2,Workday
4,Weak,T1,Johnson & Johnson,"Associate Director, AI & Advanced Analytics for New Products & Business Development",,2 Locations,,D1-title,Seniority=2 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Titusville-New-Jersey-United-States-of-America/Associate-Director--AI---Advanced-Analytics-for-New-Products---Business-Development_R-049543-1,Workday
4,Weak,T1,Merck (MSD),"Associate Director, Program Manager, Clinical Data Standards",,2 Locations,,D1-title,Seniority=2 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://jobs.merck.com/job/USA---Pennsylvania---North-Wales-Upper-Gwynedd/Associate-Director--Program-Manager--Clinical-Data-Standards_R387852-1,Workday
