score,match_label,tier,company,title,department,location,posted,match_path,score_detail,url,ats
14,Good,T1,AstraZeneca,"Director/Senior Director, Data Governance (China)",,2 Locations,,D1-title,Seniority=5 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://careers.astrazeneca.com/job/Shanghai-JingAn-Office/Director-Senior-Director--Data-Governance--China-_R-248169,Workday
14,Good,T1,Pfizer,"Director, Group Lead, Data Surveillance, Clinical Data Sciences",,India - Chennai,,D1-title,Seniority=4 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://careers.pfizer.com/job/India---Chennai/Director--Group-Lead--Data-Surveillance--Clinical-Data-Sciences_4951087,Workday
13,Good,T1,Sanofi,Global Head of Data and Digital Transformation Vx RnD - Vaccines,,"Waltham, MA",,D1-title,Seniority=4 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://careers.sanofi.com/job/Waltham-MA/Global-Head-of-Data-and-Digital-Transformation-Vx-RnD---Vaccines_R2847841,Workday
